Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2010","2010","kcal/cap/d","1025","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2011","2011","kcal/cap/d","1007","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2012","2012","kcal/cap/d","1012","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2013","2013","kcal/cap/d","1008","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2014","2014","kcal/cap/d","1008","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2015","2015","kcal/cap/d","1023","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2016","2016","kcal/cap/d","1034","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2017","2017","kcal/cap/d","1039","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2018","2018","kcal/cap/d","1081","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2019","2019","kcal/cap/d","1094","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2020","2020","kcal/cap/d","1090","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2941","Animal Products","2021","2021","kcal/cap/d","1093","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2010","2010","million Kcal","116450141.37","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2011","2011","million Kcal","115324639.5","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2012","2012","million Kcal","116990814.47","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2013","2013","million Kcal","117518884.59","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2014","2014","million Kcal","118444460.5","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2015","2015","million Kcal","121201262.8","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2016","2016","million Kcal","123453281.14","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2017","2017","million Kcal","125037056.49","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2018","2018","million Kcal","130994980.74","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2019","2019","million Kcal","133555828.26","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2020","2020","million Kcal","133710923.82","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","661","Food supply (kcal)","S2941","Animal Products","2021","2021","million Kcal","134413689.91","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2010","2010","g/cap/d","80.37","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2011","2011","g/cap/d","79.04","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2012","2012","g/cap/d","78.92","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2013","2013","g/cap/d","78.96","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2014","2014","g/cap/d","78.81","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2015","2015","g/cap/d","79.88","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2016","2016","g/cap/d","81.04","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2017","2017","g/cap/d","81.79","E","Estimated value"
